original_url	save_target	save_page_url
https://www.agisoft.com/forum/index.php?topic=12270.msg56225#msg56225	https://www.agisoft.com/forum/index.php?topic=12270.msg56225	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12270.msg56225
https://www.agisoft.com/forum/index.php?topic=12270.msg58112#msg58112	https://www.agisoft.com/forum/index.php?topic=12270.msg58112	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12270.msg58112
https://www.agisoft.com/forum/index.php?topic=12421.msg55331#msg55331	https://www.agisoft.com/forum/index.php?topic=12421.msg55331	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12421.msg55331
https://www.agisoft.com/forum/index.php?topic=12426.msg56344#msg56344	https://www.agisoft.com/forum/index.php?topic=12426.msg56344	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12426.msg56344
https://www.agisoft.com/forum/index.php?topic=12549.msg55731#msg55731	https://www.agisoft.com/forum/index.php?topic=12549.msg55731	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12549.msg55731
https://www.agisoft.com/forum/index.php?topic=12553.msg55746#msg55746	https://www.agisoft.com/forum/index.php?topic=12553.msg55746	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12553.msg55746
https://www.agisoft.com/forum/index.php?topic=12581.msg55852#msg55852	https://www.agisoft.com/forum/index.php?topic=12581.msg55852	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12581.msg55852
https://www.agisoft.com/forum/index.php?topic=12596.msg56131#msg56131	https://www.agisoft.com/forum/index.php?topic=12596.msg56131	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12596.msg56131
https://www.agisoft.com/forum/index.php?topic=12596.msg56684#msg56684	https://www.agisoft.com/forum/index.php?topic=12596.msg56684	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12596.msg56684
https://www.agisoft.com/forum/index.php?topic=12602.msg66936#msg66936	https://www.agisoft.com/forum/index.php?topic=12602.msg66936	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12602.msg66936
https://www.agisoft.com/forum/index.php?topic=12603.msg55985#msg55985	https://www.agisoft.com/forum/index.php?topic=12603.msg55985	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12603.msg55985
https://www.agisoft.com/forum/index.php?topic=12653.msg57275#msg57275	https://www.agisoft.com/forum/index.php?topic=12653.msg57275	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12653.msg57275
https://www.agisoft.com/forum/index.php?topic=12813.msg56813#msg56813	https://www.agisoft.com/forum/index.php?topic=12813.msg56813	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12813.msg56813
https://www.agisoft.com/forum/index.php?topic=12813.msg57218#msg57218	https://www.agisoft.com/forum/index.php?topic=12813.msg57218	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12813.msg57218
https://www.agisoft.com/forum/index.php?topic=12852.msg56975#msg56975	https://www.agisoft.com/forum/index.php?topic=12852.msg56975	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12852.msg56975
https://www.agisoft.com/forum/index.php?topic=13047.msg57887#msg57887	https://www.agisoft.com/forum/index.php?topic=13047.msg57887	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13047.msg57887
https://www.agisoft.com/forum/index.php?topic=13066.msg58847#msg58847	https://www.agisoft.com/forum/index.php?topic=13066.msg58847	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13066.msg58847
https://www.agisoft.com/forum/index.php?topic=13079.msg58789#msg58789	https://www.agisoft.com/forum/index.php?topic=13079.msg58789	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13079.msg58789
https://www.agisoft.com/forum/index.php?topic=13079.msg59330#msg59330	https://www.agisoft.com/forum/index.php?topic=13079.msg59330	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13079.msg59330
https://www.agisoft.com/forum/index.php?topic=13221.msg58683#msg58683	https://www.agisoft.com/forum/index.php?topic=13221.msg58683	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13221.msg58683
https://www.agisoft.com/forum/index.php?topic=13736.msg61603#msg61603	https://www.agisoft.com/forum/index.php?topic=13736.msg61603	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13736.msg61603
https://www.agisoft.com/forum/index.php?topic=13736.msg61615#msg61615	https://www.agisoft.com/forum/index.php?topic=13736.msg61615	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13736.msg61615
https://www.agisoft.com/forum/index.php?topic=13736.msg61623#msg61623	https://www.agisoft.com/forum/index.php?topic=13736.msg61623	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13736.msg61623
https://www.agisoft.com/forum/index.php?topic=13821.msg61023#msg61023	https://www.agisoft.com/forum/index.php?topic=13821.msg61023	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D13821.msg61023
https://www.agisoft.com/forum/index.php?topic=14141.msg62343#msg62343	https://www.agisoft.com/forum/index.php?topic=14141.msg62343	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14141.msg62343
https://www.agisoft.com/forum/index.php?topic=14141.msg63027#msg63027	https://www.agisoft.com/forum/index.php?topic=14141.msg63027	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14141.msg63027
https://www.agisoft.com/forum/index.php?topic=14150.msg63645#msg63645	https://www.agisoft.com/forum/index.php?topic=14150.msg63645	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14150.msg63645
https://www.agisoft.com/forum/index.php?topic=14192.msg62499#msg62499	https://www.agisoft.com/forum/index.php?topic=14192.msg62499	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14192.msg62499
https://www.agisoft.com/forum/index.php?topic=14192.msg62502#msg62502	https://www.agisoft.com/forum/index.php?topic=14192.msg62502	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14192.msg62502
https://www.agisoft.com/forum/index.php?topic=14192.msg63403#msg63403	https://www.agisoft.com/forum/index.php?topic=14192.msg63403	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14192.msg63403
https://www.agisoft.com/forum/index.php?topic=14222.msg63988#msg63988	https://www.agisoft.com/forum/index.php?topic=14222.msg63988	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14222.msg63988
https://www.agisoft.com/forum/index.php?topic=14276.msg62809#msg62809	https://www.agisoft.com/forum/index.php?topic=14276.msg62809	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14276.msg62809
https://www.agisoft.com/forum/index.php?topic=14276.msg63132#msg63132	https://www.agisoft.com/forum/index.php?topic=14276.msg63132	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14276.msg63132
https://www.agisoft.com/forum/index.php?topic=14317.msg63021#msg63021	https://www.agisoft.com/forum/index.php?topic=14317.msg63021	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14317.msg63021
https://www.agisoft.com/forum/index.php?topic=14381.msg63268#msg63268	https://www.agisoft.com/forum/index.php?topic=14381.msg63268	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14381.msg63268
https://www.agisoft.com/forum/index.php?topic=14381.msg63972#msg63972	https://www.agisoft.com/forum/index.php?topic=14381.msg63972	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14381.msg63972
https://www.agisoft.com/forum/index.php?topic=14382.msg63242#msg63242	https://www.agisoft.com/forum/index.php?topic=14382.msg63242	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14382.msg63242
https://www.agisoft.com/forum/index.php?topic=14480.msg63654#msg63654	https://www.agisoft.com/forum/index.php?topic=14480.msg63654	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14480.msg63654
https://www.agisoft.com/forum/index.php?topic=14526.msg64060#msg64060	https://www.agisoft.com/forum/index.php?topic=14526.msg64060	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14526.msg64060
https://www.agisoft.com/forum/index.php?topic=14670.msg64472#msg64472	https://www.agisoft.com/forum/index.php?topic=14670.msg64472	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14670.msg64472
https://www.agisoft.com/forum/index.php?topic=14670.msg73828#msg73828	https://www.agisoft.com/forum/index.php?topic=14670.msg73828	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14670.msg73828
https://www.agisoft.com/forum/index.php?topic=14738.msg64636#msg64636	https://www.agisoft.com/forum/index.php?topic=14738.msg64636	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14738.msg64636
https://www.agisoft.com/forum/index.php?topic=14821.msg64950#msg64950	https://www.agisoft.com/forum/index.php?topic=14821.msg64950	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14821.msg64950
https://www.agisoft.com/forum/index.php?topic=14821.msg66108#msg66108	https://www.agisoft.com/forum/index.php?topic=14821.msg66108	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D14821.msg66108
https://www.agisoft.com/forum/index.php?topic=15017.msg66716#msg66716	https://www.agisoft.com/forum/index.php?topic=15017.msg66716	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15017.msg66716
https://www.agisoft.com/forum/index.php?topic=1505.msg7674#msg7674	https://www.agisoft.com/forum/index.php?topic=1505.msg7674	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D1505.msg7674
https://www.agisoft.com/forum/index.php?topic=1505.msg7916#msg7916	https://www.agisoft.com/forum/index.php?topic=1505.msg7916	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D1505.msg7916
https://www.agisoft.com/forum/index.php?topic=1505.msg7934#msg7934	https://www.agisoft.com/forum/index.php?topic=1505.msg7934	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D1505.msg7934
https://www.agisoft.com/forum/index.php?topic=15053.msg65810#msg65810	https://www.agisoft.com/forum/index.php?topic=15053.msg65810	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15053.msg65810
https://www.agisoft.com/forum/index.php?topic=15240.msg66874#msg66874	https://www.agisoft.com/forum/index.php?topic=15240.msg66874	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15240.msg66874
https://www.agisoft.com/forum/index.php?topic=1526.msg7833#msg7833	https://www.agisoft.com/forum/index.php?topic=1526.msg7833	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D1526.msg7833
https://www.agisoft.com/forum/index.php?topic=15490.msg67279#msg67279	https://www.agisoft.com/forum/index.php?topic=15490.msg67279	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15490.msg67279
https://www.agisoft.com/forum/index.php?topic=15721.msg68018#msg68018	https://www.agisoft.com/forum/index.php?topic=15721.msg68018	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15721.msg68018
https://www.agisoft.com/forum/index.php?topic=15903.msg68616#msg68616	https://www.agisoft.com/forum/index.php?topic=15903.msg68616	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15903.msg68616
https://www.agisoft.com/forum/index.php?topic=15903.msg68784#msg68784	https://www.agisoft.com/forum/index.php?topic=15903.msg68784	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15903.msg68784
https://www.agisoft.com/forum/index.php?topic=15903.msg69015#msg69015	https://www.agisoft.com/forum/index.php?topic=15903.msg69015	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15903.msg69015
https://www.agisoft.com/forum/index.php?topic=15903.msg69649#msg69649	https://www.agisoft.com/forum/index.php?topic=15903.msg69649	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15903.msg69649
https://www.agisoft.com/forum/index.php?topic=15903.msg70291#msg70291	https://www.agisoft.com/forum/index.php?topic=15903.msg70291	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15903.msg70291
https://www.agisoft.com/forum/index.php?topic=15903.msg72205#msg72205	https://www.agisoft.com/forum/index.php?topic=15903.msg72205	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15903.msg72205
https://www.agisoft.com/forum/index.php?topic=15960.msg68783#msg68783	https://www.agisoft.com/forum/index.php?topic=15960.msg68783	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D15960.msg68783
https://www.agisoft.com/forum/index.php?topic=16013.msg68965#msg68965	https://www.agisoft.com/forum/index.php?topic=16013.msg68965	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16013.msg68965
https://www.agisoft.com/forum/index.php?topic=16015.msg68969#msg68969	https://www.agisoft.com/forum/index.php?topic=16015.msg68969	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16015.msg68969
https://www.agisoft.com/forum/index.php?topic=16015.msg72350#msg72350	https://www.agisoft.com/forum/index.php?topic=16015.msg72350	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16015.msg72350
https://www.agisoft.com/forum/index.php?topic=16091.msg69300#msg69300	https://www.agisoft.com/forum/index.php?topic=16091.msg69300	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16091.msg69300
https://www.agisoft.com/forum/index.php?topic=16481.msg70795#msg70795	https://www.agisoft.com/forum/index.php?topic=16481.msg70795	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16481.msg70795
https://www.agisoft.com/forum/index.php?topic=16481.msg72862#msg72862	https://www.agisoft.com/forum/index.php?topic=16481.msg72862	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16481.msg72862
https://www.agisoft.com/forum/index.php?topic=16516.msg70934#msg70934	https://www.agisoft.com/forum/index.php?topic=16516.msg70934	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16516.msg70934
https://www.agisoft.com/forum/index.php?topic=16745.msg71715#msg71715	https://www.agisoft.com/forum/index.php?topic=16745.msg71715	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16745.msg71715
https://www.agisoft.com/forum/index.php?topic=16745.msg71933#msg71933	https://www.agisoft.com/forum/index.php?topic=16745.msg71933	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D16745.msg71933
